Date,Type,Country,State,Location,Activity,Sex,Age,Injury,Time,Species,Extracted_date,Month,Year,Age_group
02-Sep-2020,Unprovoked,USA,FLORIDA,"Jensen Beach, Martin County",Unknown,M,nan,Survived,,Nurse Shark,Sep-2020,Sep,2020,Unknown
30-Aug-2020,Other,AUSTRALIA,NEW SOUTH WALES,Forster,Fishing,Unknown,nan,Survived,Afternoon,Great White,Aug-2020,Aug,2020,Unknown
30-Aug-2020,Unprovoked,USA,SOUTH CAROLINA,"Folly Beach, Charleston County",Surfing,M,12,Survived,11h30,Unknown,Aug-2020,Aug,2020,Child
28-Aug-2020,Unprovoked,USA,CALIFORNIA,"Shelter Cove, Humboldt County",Fishing,M,nan,Survived,Afternoon,Great White,Aug-2020,Aug,2020,Unknown
23-Aug-2020,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Standing,M,23,Survived,15h00,Unknown,Aug-2020,Aug,2020,Young Adult
22-Aug-2020,Unprovoked,USA,FLORIDA,"St. Augustine Beach, Anastasia Island, St. Johns County",Surfing,M,14,Survived,Morning,Unknown,Aug-2020,Aug,2020,Teen
20-Aug-2020,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Boarding,F,50,Survived,11h00,Unknown,Aug-2020,Aug,2020,Adult
19-Aug-2020,Other,USA,SOUTH CAROLINA,"Myrtle Beach, Horry County",wading,F,nan,Survived,1415,Unknown,Aug-2020,Aug,2020,Unknown
14-Aug-2020,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Shelly Beach, Port Macquarie",Surfing,F,35,Survived,09h30,Great White,Aug-2020,Aug,2020,Young Adult
10-Aug-2020,Provoked,USA,FLORIDA,"Off Gasparilla Island, Charlotte County",Fishing,M,55,Survived,16h00,Blacktip Shark,Aug-2020,Aug,2020,Adult
01-Aug-2020,Unprovoked,USA,NORTH CAROLINA,"Surf City, Pender County",Surfing,M,54,Survived,14h00-15h00,Unknown,Aug-2020,Aug,2020,Adult
31-Jul-2020,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,F,22,Survived,17h00,Unknown,Jul-2020,July,2020,Young Adult
31-Jul-2020,Unprovoked,USA,ALABAMA,"Orange Beach, Baldwin County",Swimming,M,14,Survived,13h00,Blacktip Shark,Jul-2020,July,2020,Teen
31-Jul-2020,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Bunker Bay Beach,Surfing,M,28,Survived,14h15,Great White,Jul-2020,July,2020,Young Adult
29-Jul-2020,Unprovoked,USA,FLORIDA,Florida Keys,Diving,M,38,Survived,,Lemon Shark,Jul-2020,July,2020,Adult
29-Jul-2020,Other,AUSTRALIA,TASMANIA,Tenth Island,Unknown,Unknown,nan,Survived,09h08,Great White,Jul-2020,July,2020,Unknown
23-Jul-2020,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Standing,M,11,Survived,,Unknown,Jul-2020,July,2020,Child
22-Jul-2020,Unprovoked,USA,NORTH CAROLINA,"Neuse River, Craven County",Unknown,M,nan,Survived,17h30,Bull Shark,Jul-2020,July,2020,Unknown
19-Jul-2020,Unprovoked,USA,FLORIDA,"Cocoa Beach, Brevard  County",wading,F,12,Survived,Afternoon,Unknown,Jul-2020,July,2020,Child
17-Jul-2020,Unprovoked,AUSTRALIA,TASMANIA,Off Stanley,Fishing,M,10,Survived,13h30,Great White,Jul-2020,July,2020,Child
14-Jul-2020,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",wading,F,14,Survived,,Bull Shark,Jul-2020,July,2020,Teen
13-Jul-2020,Unprovoked,AUSTRALIA,QUEENSLAND,Fitzroy Island,Snorkeling,F,29,Survived,11h45,Unknown,Jul-2020,July,2020,Young Adult
11-Jul-2020,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Wilsons Headland,Surfing,M,15,Fatal,14h30,Great White,Jul-2020,July,2020,Teen
04-Jul-2020,Unprovoked,AUSTRALIA,QUEENSLAND,Fraser Island,Fishing,M,36,Fatal,14h00,Unknown,Jul-2020,July,2020,Adult
22-Jun-2020,Unprovoked,USA,FLORIDA,"Homestead, Miami-Dade County",Unknown,M,7,Survived,,Bull Shark,Jun-2020,June,2020,Child
20-Jun-2020,Unprovoked,USA,NORTH CAROLINA,"Salvo, Dare County",Surfing,M,16,Survived,16h00,Unknown,Jun-2020,June,2020,Teen
16-Jun-2020,Unprovoked,SOUTH AFRICA,KWAZULU-NATAL,Umhlanga Rocks,Surfing,F,nan,Survived,14h00,Unknown,Jun-2020,June,2020,Unknown
10-Jun-2020,Unprovoked,NEW CALEDONIA,SOUTH PROVINCE,"Plateau de Ricaudy, Nouméa",Surfing,M,30,Fatal,Afternoon,Tiger Shark,Jun-2020,June,2020,Young Adult
07-Jun-2020,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Salt Beach near Kingscliff,Surfing,M,60,Fatal,10h40,Great White,Jun-2020,June,2020,Adult
06-Jun-2020,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Tantabitti Beach, Nigaloo",Unknown,F,nan,Unknown,,Unknown,Jun-2020,June,2020,Unknown
04-Jun-2020,Other,USA,DELAWARE,"Herring Point, Sussex County",Boarding,M,12,Survived,13h00,Unknown,Jun-2020,June,2020,Child
01-Jun-2020,Unprovoked,USA,HAWAII,"Davidsons Beach, Kauai",Surfing,M,nan,Survived,08h30,Tiger Shark,Jun-2020,June,2020,Unknown
31-May-2020,Unprovoked,BAHAMAS,ABACO ISLANDS,NoName Cay,Fishing,M,nan,Survived,,Bull Shark,May-2020,May,2020,Unknown
30-May-2020,Unprovoked,AUSTRALIA,QUEENSLAND,Lucinda,Fishing,M,18,Survived,,Bull Shark,May-2020,May,2020,Teen
